event_date,year,assoc_actor_1,assoc_actor_2,admin1,admin2,location,latitude,longitude,source,notes,fatalities,tags
22 August 2020,2020,Pro-Police Group (United States),,Indiana,Monroe,Bloomington,39.1653,-86.5264,Indiana Public Media; Paoli News-Republican,"On 22 August 2020, hundreds of people demonstrated in Bloomington (Indiana), both in support of the Back the Blue movement, and in support of the Black Lives Matter movement. Demonstrators clashed in the streets, and at least three people were injured. No arrests were reported.",0,counter-demonstration; crowd size=hundreds
21 August 2020,2020,BLM: Black Lives Matter,,Oregon,Multnomah,Portland,45.5234,-122.6762,KOIN6,"On 21 August 2020, about 200 people staged a demonstration in Portland (Oregon) in support of the Black Lives Matter, against police brutality and the death of George Floyd. Some rioters threw projectiles and shined lasers at officers and broke police car windows. 9 were arrested.",0,crowd size=about 200
20 August 2020,2020,BLM: Black Lives Matter,Government of the United States (2017-2021),Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,New York Times,"On 20 August 2020, a crowd of about 200 rioters demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Matter movement, against police brutality, and the death of George Floyd. Rioters have clashed with federal PACT agents. Two rioters were arrested after damaging government buildings.",0,crowd size=about 200
19 August 2020,2020,BLM: Black Lives Matter,Government of the United States (2017-2021),Oregon,Multnomah,Portland,45.5234,-122.6762,New York Times,"On 19 August 2020, a crowd of about 200 rioters demonstrated in Portland (Oregon) in support of the Black Lives Matter movement, against police brutality, and the death of George Floyd. The demonstrations turned violent when the rioters smashed the windows of a county government building, and set the Federal immigration building on fire. Police fired crowd control munitions and tear gas to disperse the crowd.",0,crowd size=about 200; local administrators
18 August 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Oregon,Multnomah,Portland,45.5234,-122.6762,ABC News; Oregonian; Stranger; US Press Freedom Tracker,"On 18 August 2020, about 200 demonstrators staged a demonstration in Portland (Oregon) in support of the Black Lives Matter movement. The demonstration turned violent when demonstrators started to break out the windows of a county government building, sprayed lighter fluid inside, set a fire, and clashed with police. Police used tear gas and flash bang devices in response. A police officer pushed two journalists to the ground. One was struck on the head multiple times with a truncheon. The other hit his head on the pavement after being shoved by police and also reported his phone being destroyed by a police officer. Two demonstrators were arrested and one officer was injured.",0,crowd size=about 200; local administrators
15 August 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),Rioters (United States); American Wolves,Oregon,Multnomah,Portland - Northeast,45.5684,-122.6183,Left Coast Right Watch; Political Research Associates; Oregonian; Count Love; US Press Freedom Tracker,"On 15 August 2020, hundreds of people demonstrated in Portland - Northeast (Oregon) in support of the Black Lives Matter movement and against police brutality. At night, around 200 people demonstrated in East Portland but things turned violent when demonstrators began throwing objects at the police. Police declared a riot and deployed gas, smoke, and charged at the demonstrators with batons. A man who was believed to be intoxicated who was not a part of the demonstration crashed his car into the Portland Police union building. Several armed members of the American Wolves patrolled the demonstration from across the street at the beginning of the night, claiming they were there to 'observe'. After verbal confrontations with the demonstrators, police escorted them away from the group. Later in the night while the demonstrators were clashing with the police, members of the American Wolves sprayed bear mace at a female demonstrator. The limousine driver for the American Wolves allegedly 'flashed a handgun' at demonstrators. A journalist reported being hit with tear gas and impact munitions despite being clearly labeled press.",0,armed; crowd size=hundreds
14 August 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Oregon,Multnomah,Portland,45.5234,-122.6762,Oregonian; Count Love; US Press Freedom Tracker,"On 14 August 2020, hundreds of people demonstrated in Portland (Oregon) in support of the Black Lives Matter movement and against police brutality. Several demonstrations were carried out in the city.",0,crowd size=hundreds
14 August 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Oregon,Multnomah,Portland - North,45.5761,-122.7246,Oregonian; Count Love; US Press Freedom Tracker,"On 14 August 2020, about 300 people demonstrated in Portland - North (Oregon) in support of the Black Lives Matter movement and against police brutality. Demonstrators were blocked by the police while trying to march towards Northern Portland. Officers shoved some demonstrators and shot others with impact munitions after people threw objects and paint at them. Police retreated shortly after, but around 10:30 pm some demonstrators lit two dumpsters on fire. Around 12:15 am, police ordered people to disperse. At least three journalists and legal-rights observers reported being hit and pushed by police officers. Journalists also reported being targeted by police.",0,crowd size=about 300
12 August 2020,2020,BLM: Black Lives Matter,,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,KOIN6; Portland Tribune; Oregonian,"On 12 August 2020, as many as 300 people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. A riot was declared just before midnight, after objects where thrown at police and several fires were set near the courthouse. Police used pepper spray to disperse the demonstrators. 2 police officers were injured. At least 2 people were arrested.",0,crowd size=as many as 300
10 August 2020,2020,BLM: Black Lives Matter,,Oregon,Multnomah,Portland - Northeast,45.5684,-122.6183,Oregonian; KOIN6,"On 10 August 2020, hundreds of people staged a demonstration in Portland - Northeast (Oregon) in support of the Black Lives Matter movement and against police brutality. About 150 people gathered in Alberta Park and marched to the North Precinct, where they threw objects at police and set fires. Police declared unlawful assembly late at night and made several arrests. According to reports, police officers shoved demonstrators and chased those who did not disperse. Police denied the use of pepper spray.",0,crowd size=hundreds
09 August 2020,2020,BLM: Black Lives Matter,,Washington,King,Seattle,47.6056,-122.333,Count Love; Capitol Hill Seattle Blog,"On 9 August 2020, a crowd of a few hundred marched across Seattle (Washington) in support of the Black Lives Matter movement. Demonstrators vandalized private property. Local police took several demonstrators into custody.",0,crowd size=a few hundred
09 August 2020,2020,BLM: Black Lives Matter; Women (United States),,Oregon,Multnomah,Portland - North,45.5761,-122.7246,KOMO Radio News; NBC Nebraska 2; Oregonian,"On 9 August 2020, thousands of people staged a demonstration in Portland - North (Oregon) in support of the Black Lives Matter movement and against police brutality. About 200 people marched to the Union headquarters and a riot was declared after a group set a dumpster on fire. A group of rioters threw commercial fireworks at the police. 16 people were arrested. One of the arrested is the leader of Mothers United for Black Lives Matter. Two police officers were injured.",0,crowd size=thousands
08 August 2020,2020,Back the Blue; Pro-Police Group (United States),,Colorado,Larimer,Fort Collins,40.5852,-105.0849,Gazette (Colorado Springs); Denver Post,"On 8 August 2020, hundreds of people staged a 'Back the Blue' demonstration in Fort Collins (Colorado), in support of the police. A group of counter-demonstrators turned up, fights broke out and three people were arrested.",0,counter-demonstration; crowd size=hundreds
08 August 2020,2020,BLM: Black Lives Matter; Christian Group (United States); Civilians (United States); Journalists (United States),Unidentified Armed Group (United States); Former Military Forces of the United States (2017-2021) Navy,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,Oregonian; US Press Freedom Tracker; Fox12 Oregon; Fox News,"On 8 August 2020, thousands of people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. In the morning, people affiliated with a Christian group demonstrated in Waterfront Park and another group of demonstrators gathered outside the Justice Center. Around 11:30 pm, police declared a riot after demonstrators broke windows and started a fire inside the Justice Center. Police used pepper spray and less-lethal munitions against the demonstrators.",0,crowd size=thousands
04 August 2020,2020,BLM: Black Lives Matter; Journalists (United States); Civilians (United States),,Oregon,Multnomah,Portland - North,45.5761,-122.7246,Oregon Public Broadcasting,"On 4 August 2020, hundreds of people demonstrated in Portland - North (Oregon) in support of the Black Lives Matter movement and against police brutality. The demonstrations began early during the day. A group of people gathered at the Police Association. Police warned demonstrators to stop trying to break into the building. The demonstration turned violent at night, as demonstrators began a fight, and one person shot gunshots into the air. Demonstrators lit a fire in the street. Police declared a riot. According to reports, police shoved journalists and several demonstrators. One injury reported.",0,armed; crowd size=hundreds
01 August 2020,2020,BLM: Black Lives Matter; Pro-Police Group (United States),,California,San Bernardino,Yucaipa,34.0336,-117.0431,Count Love; Redlands Daily Facts,"On 1 August 2020, around 280 people in total from two groups demonstrated in Yucaipa (California). One of the groups demonstrated in support of the Black Lives Matter movement, against police brutality, and the death of George Floyd. The second group demonstrated in support of the police and allegedly chanted racial slurs. Police forces intervened, with one official being assaulted during the intervention. Nine people were arrested.",0,counter-demonstration; crowd size=around 280
01 August 2020,2020,BLM: Black Lives Matter; NAACP: National Association for the Advancement of Colored People; African American Group (United States); Journalists (United States); Civilians (United States),,Oregon,Multnomah,Portland - Southeast,45.4914,-122.5932,Time Magazine; KOIN6; Oregonian,"On 1 August 2020, more than 1000 people, including NAACP, staged a demonstration in Portland - Southeast (Oregon) support of the Black Lives Matter movement and against police brutality. The demonstration was held in the morning after the announcement of the reduction of US federal forces' presence, and it turned violent at night on the East side of the city. At 10 pm, Police declared the gathering an unlawful assembly, soon after demonstrators began throwing objects and bottles at the officers. Two people were arrested. A journalist had her car's tires slashed by Portland Police in riot gear. They argued the journalist car was a potential hazard for the demonstrators. Police argued several people wearing outer garments with 'press' written on it attacked them by throwing objects. No use of tear gas reported.",0,crowd size=more than 1000
30 July 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,Count Love; Columbian,"On 30 July 2020, several thousand people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. When demonstrators pointed lights and lasers at officers in the federal courthouse, federal forces deployed tear gas to disperse the demonstrators outside the building. A journalist reported being sprayed in the face with a chemical irritant by a federal officer despite identifying himself as press. The journalist believes he was targeted. Several demonstrators were arrested.",0,crowd size=several thousand
29 July 2020,2020,BLM: Black Lives Matter; Women (United States); WOM: Wall of Moms; Civilians (United States); Journalists (United States),Police Forces of the United States (2017-2021) Protecting American Communities Task Force,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,Oregonian; US Press Freedom Tracker,"On 29 July 2020, thousands of people joined by Wall of Moms staged a demonstration in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. The gathering was declared unlawful around 10:30pm. Rioters set small fires and the demonstration turned violent at the Courthouse, prompting federal forces to shoot impact munitions and spray tear gas. A journalist reported being hit with a rubber bullet by a federal officer.",0,crowd size=thousands
28 July 2020,2020,BLM: Black Lives Matter; Women (United States); Former Military Forces of the United States (2017-2021); WOM: Wall of Moms; Civilians (United States); Journalists (United States),Police Forces of the United States (2017-2021) Department of Homeland Security,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,US Press Freedom Tracker; Count Love; Fox12 Oregon,"On 28 July 2020, hundreds of people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. The demonstration turned violent when rioters began shooting Roman candles and fireworks at the Courthouse. The Wall of Moms and Wall of Vets acted as human shields around the Courthouse and the Justice Center. Rioters blocked the traffic, banged on the fence around the federal buildings, threw rocks, sticks, bottles, and other objects. Some of them were wearing helmets and gas masks. At 1:30 am, rioters dispersed. The police reported they did not use any tear gas, did not make any arrest, and that none of their agents engaged with rioters. A journalist reported witnessing officers use crowd control munitions against demonstrators and was hit multiple times with projectiles, including a rubber bullet.",0,crowd size=hundreds
27 July 2020,2020,BLM: Black Lives Matter; Boogaloo Boys,,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,Central Maine; MilitiaWatch,"On 27 July 2020, hundreds of people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. Boogaloo Boys joined the demonstrators to express support for the BLM movement in the city. Some demonstrators were seen pounding on and later setting the fence of the Courthouse building on fire. Rioters threw rocks, bottles, fireworks, and other objects over the fence. A Molotov cocktail was thrown too. Police dispersed the rioters around 1 am. One minor was arrested.",0,crowd size=hundreds
26 July 2020,2020,WOM: Wall of Moms; BLM: Black Lives Matter; Women (United States); Former Military Forces of the United States (2017-2021); Journalists (United States); Civilians (United States),,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,Oregonian,"On 26 July 2020, 5000 people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Movement and against police brutality and in support of the city's opposition to federal law enforcement use of force. In the morning, large crowds marched to the Courthouse. Wall of Moms, Wall of Vets, were seen demonstrating around the local Courthouse. The demonstration turned violent when rioters set large fireworks and used a bolt cutter, a blow torch, and an angle grinder to cut a hole in the Courthouse's fence. Around 1 am, the demonstration was declared by the Federal Service, an unlawful assembly and a riot, by the Portland Police Bureau. People were ordered to move. Officers fired impact munitions to the crowd. A journalist was shot in the face with impact munition by federal agents.",0,crowd size=5000
25 July 2020,2020,BLM: Black Lives Matter,,California,Alameda,Oakland,37.8044,-122.2711,ABC7 (San Francisco); Liveuamap; San Francisco Chronicle; KPIX5,"On 25 July 2020, hundreds of BLM supporters took the streets of Oakland (California) demanding social justice and showing solidarity with demonstrators in Portland who have been in a standoff with federal agents for over a week. The demonstration turned violent when a group of rioters started clashing with officers, throwing fireworks and other incendiary devices against them. The Alameda County Courthouse was also set on fire. Neither injuries nor arrests were reported.",0,crowd size=hundreds
25 July 2020,2020,BLM: Black Lives Matter,,California,Sacramento,Sacramento,38.5799,-121.4962,Liveuamap; KCRA3; NBC Bay Area; Fox40 (Sacramento); ABC7 (San Francisco),"On 25 July 2020, hundreds of BLM supporters marched in demonstration in Sacramento (California) demanding social justice and showing solidarity with demonstrators in Portland who have been in a standoff with federal agents for over a week. The demonstration turned violent when a group of rioters started vandalizing a police station. It was reported other demonstrations took place in the city over the day. Neither injuries nor arrests were reported.",0,crowd size=hundreds
25 July 2020,2020,BLM757; Boogaloo Boys; Virginia Militia; Virginia Knights; White Nationalists (United States); Antifa (United States),,Virginia,Richmond,Richmond,37.5388,-77.4336,News2Share; MilitiaWatch,"On 25 July 2020, several hundred people staged a march in Richmond (Virginia) in solidarity with demonstrators in Portland and against the deployment of federal agents. A city dump truck was set on fire while rocks, batteries, and other items were thrown at police officers. Members of BLM 757, an independent group local to the Hampton Roads-area that has clashed with other Black Lives Matter leaders and progressive organizers, participated at the event and were joined by Boogaloo Boys and representatives of the Virginia Militia and Virginia Knights. There was some opposition to the inclusion of Boogaloo Boys among the crowd. Richmond Mayor claimed that White supremacists had 'spearheaded' the violence. According to the Police Chief, some individuals affiliated to Boogaloo Boys, and others involved in or influenced by the antifa movement had been identified by the police at the demonstration. Police used pepper spray to disperse the crowds. Nearly two dozen people were arrested, including 2 minors for trespassing.",0,crowd size=several hundred; suggested agents provocateurs
25 July 2020,2020,BLM: Black Lives Matter; Journalists (United States); Civilians (United States),,Washington,King,Seattle,47.6056,-122.333,US Press Freedom Tracker; AP,"On 25 July 2020, thousands of people demonstrated in Seattle (Washington) in support of the Black Lives Matter movement against police brutality, and in solidarity with the people of Portland. According to reports, rioters broke windows and vandalized the King County Juvenile Detention Center. After they were asked to leave, demonstrators marched to the Capitol Hill area (CHOP), where they tried to set up an 'occupied zone.' Demonstrators threw rocks, bottles, fireworks, and mortar fireworks at the police officers, who reacted by spraying pepper spray and using flashbangs. One journalist was hit by pepper spray while wearing clothing identifying him as press. At least 45 people were arrested. Twenty-one police officers were wounded. Authorities found an explosive device left in the side of the Police precinct.",0,crowd size=thousands
25 July 2020,2020,BLM: Black Lives Matter; Women (United States); Pacific Northwest Youth Liberation Front; Former Military Forces of the United States (2017-2021); Civilians (United States); Journalists (United States); WOM: Wall of Moms,,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,KOIN6; AP; Oregonian; VOA,"On 25 July 2020, thousands of people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Movement and against police brutality and in support of the city's opposition to federal law enforcement use of force. Late at night, federal agents began dispersing demonstrators marching towards the Courthouse by spraying tear gas at close range. Several peaceful demonstrations had been staged in the city during the day. At night, demonstrators gathered outside the Justice Center and the Courthouse. The 'Wall of Moms' and the 'Wall of Vets' lined up at the fence. Federal agents wearing camouflage uniforms turned up, sent pepper balls to set off smoke, and warned people to disperse. Demonstrators threw fireworks inside the fence and continued to shake the fence. After 1 am, demonstrators breached the Courthouse's fence, and then Federal agents deployed tear gas. One journalist was hit with a rubber bullet. The event was organized, in part, by Youth Liberation Front.",0,crowd size=thousands
25 July 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Oregon,Lane,Eugene,44.052,-123.0867,US Press Freedom Tracker; Oregonian; AP; KOIN6; NBC16 (Eugene),"On 25 July 2020, several hundred people staged a demonstration in Eugene (Oregon) in support of the Black Lives Matter movement and against police brutality. A group of 100 armed counter-demonstrators clashed with the BLM demonstrators. Police arrested 8 rioters. A looting downtown was also reported after police declared a riot. A journalist reported being targeted by police after he was tear-gassed.",0,armed; counter-demonstration; crowd size=several hundred
25 July 2020,2020,No Sleep Till Justice,III% American Patriots; Oath Keepers; Texas Freedom Fighters,Texas,Parker,Weatherford,32.7593,-97.7973,Weatherford Democrat; Fox4 (Dallas); MilitiaWatch; Spectrum News San Antonio; Dallas Morning News; Washington Post; Count Love,"On 25 July 2020, a group of 50 people, including some armed members of the No Sleep Till Justice DFW Group held a demonstration in Weatherford (Texas) calling for the removal of a Confederate monument located on County Courthouse grounds. The group was met by an estimated 500 defenders of the statue, including armed members of the III% American Patriot group, who carried guns and threw bottles and other objects at demonstrators. This led to physical scuffles between both groups. Members of 'far-right-Texas-based groups,' including the Oath Keepers, and the Texas Freedom Fighters also joined the pro-statue demonstrators. One far-right demonstrator aimed a scoped weapon at demonstrators. Police intervened and arrested two people.",0,armed; counter-demonstration; crowd size=around 550
23 July 2020,2020,BLM: Black Lives Matter; NAACP: National Association for the Advancement of Colored People; African American Group (United States); Women (United States); WOM: Wall of Moms,Government of the United States (2017-2021),Oregon,Multnomah,Portland,45.5234,-122.6762,Department of Justice; Oregonian,"On 23 July 2020, over 2000 people demonstrated in Portland (Oregon) in support of the Black Lives Movement. They gathered at the Courthouse for a rally organized by the local NAACP. The demonstration turned violent when a group of rioters began to tear down the fence of the federal building, threw objects and lit fireworks. Women wearing yellow t-shirts, part of 'Wall of Moms', formed a human barricade along the fence's perimeter. The Local police ordered the crowd to leave. Federal officers arrested six people for failing to comply with a lawful order.",0,crowd size=over 2000
21 July 2020,2020,Armenian Group (United States),Azerbaijani Ethnic Group (United States); Police Forces of the United States (2017-2021),California,Los Angeles,Los Angeles - Westside,34.0395,-118.44,CBS2 (Los Angeles); KTLA5,"On 21 July 2020, hundreds of Armenian people held a demonstration in Los Angeles - Westside (California), outside the Azerbaijani consulate, to condemn rampant tensions between Azerbaijani and Armenian forces in the Armenian Tavush province. A group of Azerbaijani counter demonstrators was present at the site, eventually clashing with a group of Armenians. Three people and police officer were injured, and one person was arrested. Officials are investigating the incident as a hate crime.",0,counter-demonstration; crowd size=hundreds
21 July 2020,2020,BLM: Black Lives Matter; Women (United States); Civilians (United States); Journalists (United States),Government of the United States (2017-2021),Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,Q13 Fox; News 10 (Medford); Department of Justice; Fox12 Oregon,"On 21 July 2020, thousands of people demonstrated in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality. At night, people started hitting the Federal Courthouse's exterior glass doors using hammers, crowbars, and other pry tools until they could break it. Minutes later, federal agents wearing camouflage and dark Homeland Security uniforms started dispersing demonstrators using control munitions and tear gas. At 12:30 am, fires were set outside the Courthouse. Federal forces continued to disperse the demonstrators, who reacted by collecting objects and road barricades to use as shields, advancing towards the Federal Courthouse. Demonstrators vandalized and spray painted the Courthouse and other buildings and stores nearby. At 1:45 am, federal forces dispersed the demonstrators who lit fires in Lownsdale Square. The disturbances continued until the early morning hours. Portland Police Department stated that local officers did not engage in any activity with demonstrators nor used tear gas or arrested anybody that night. Federal forces arrested five people for failing to comply with a lawful order. Two journalists reported being targeted by federal officers and hit with impact munitions, including 'universal projectile ammunition' from a 'riot gun' and pepper balls.",0,crowd size=thousands
21 July 2020,2020,Armenian Group (United States),Azerbaijani Ethnic Group (United States),California,Contra Costa,Brentwood,37.9311,-121.6966,Los Angeles Times; Crowd Counting Consortium,"On 21 July 2020, hundreds of people organized by the Armenian Youth Federation marched to the Azerbaijani Consulate in Brentwood (California) against the Azerbaijani government and the conflict over the disputed Nagorno-Karabakh region. A 'much smaller' group of Azeri people counter demonstrated. Verbal altercations ensued and police responded. Allegedly, an Azeri demonstrator 'knocked out' an Armenian demonstrator by hitting her with a flagpole. Afterwards, multiple physical altercations occurred. Three people were hospitalized with non-life-threatening injuries from being 'punched or kicked.' A total of seven people were injured, five of whom were hospitalized.",0,counter-demonstration; crowd size=hundreds
18 July 2020,2020,BLM: Black Lives Matter,,Oregon,Multnomah,Portland - North,45.5761,-122.7246,USA Today; Portland Tribune; Portland Mercury,"On 18 July 2020, hundreds of people staged a march in Portland - North (Oregon), originating in Peninsula Park, in support of the Black Lives Matter movement and against police brutality. As the march progressed, the demonstration turned violent when rioters lit dumpsters on fire, smashed the window of a squad car and several windows of the Portland Police Association (PPA), and then lit the PPA building on fire around 11pm. A riot was declared and local police fired tear gas and munitions before charging in to disperse the crowd. Unlike previous nights, the Saturday demonstrations did not elicit a coordinated response from federal and local police.",0,crowd size=hundreds
17 July 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States); Native American Group (United States); African American Group (United States),,Illinois,Cook,Chicago - Central,41.8757,-87.6243,Liberation News; Fox32; Count Love; Pantagraph; CBS2 (Chicago); USA Today; Block Club Chicago; WGN Channel 9,"On 17 July 2020, about 1000-1500 people demonstrated at Grant Park in Chicago - Central (Illinois) in a 'Black, Indigenous Solidarity Rally' organized by more than a dozen Chicago-based organizations, including Native American groups, in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. They then tried toppling the statue of Christopher Columbus, but were stopped by the police. The Superintendent of the Chicago Police Department later said the demonstration was 'hijacked by organized mobs' as people hid under black umbrellas and changed into black clothes, formed a wall and marched on officers, used sharpened PVC pipes to jab at officers, and threw fireworks, cans, frozen water bottles, and rocks at the police. Police struck people with batons and deployed tear gas and pepper spray. At least 5 demonstrators and 4 police officers were taken to the hospital. In total 18 officers were seriously injured. 12 people were arrested. Activists alleged that a Black teenager filming at the scene was punched in the mouth by the police and had her teeth knocked out. One reporter alleged to have been verbally and physically assaulted by the police, another claimed her phone was slapped out of her hand by a police officer with his baton. Police took 76 bikes from the scene. They claimed that the bikes were either abandoned or used as weapons against police. Demonstrators claimed that the bikes were taken from them, some by force and without any explanations.",0,crowd size=about 1000; statue; suggested agents provocateurs
15 July 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),Police Forces of the United States (2017-2021),Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,USA Today; Oregon Public Broadcasting; US Press Freedom Tracker; Fox12 Oregon,"On 15 July 2020, between 200 and 250 people marched in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration was organized by Rose City Justice and began during the evening of 14 July 2020. Some people set up barricades, lit fires, and threw objects at police. Federal agents of the Protecting American Communities Task Force fired impact munitions at the crowd and reportedly arrested individuals without identifying themselves or stating a reason for the arrests. The Oregon Attorney General later sued several federal agencies, alleging federal officers in unmarked vehicles arrested people without warrants in recent days. It was also reported that demonstrators started to camp in Lownsdale Square Park and Chapman Square Park. A federal agent reportedly fired a tear gas canister at a member of the press although he was not near demonstrators and was clearly labeled press.",0,crowd size=between 200 and 250
12 July 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States); Health Workers (United States),,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,KATU; Fox12 Oregon; US Press Freedom Tracker; CNN,"On 12 July 2020, roughly 400 people staged a demonstration in Portland - Downtown (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The demonstration started in Chapman Square and turned violent late at night, when a group of people began burning flags, chanting, using fireworks, throwing bottles at federal officers, and lighting dumpsters on fire. A riot was declared. Local police used tear gas and crowd control munitions to disperse the demonstrators. One person was arrested. Several volunteer medics were reportedly shoved to the ground by law enforcement officers. Two journalists were hit by crowd control munitions fired by federal officers; the journalists believe they were targeted.",0,crowd size=roughly 400
11 July 2020,2020,Tennessee 19th Infantry Militia,BLM: Black Lives Matter; New Panthers Initiative; African American Group (United States),Tennessee,Hawkins,Rogersville,36.4073,-83.0054,WATE6; MilitiaWatch; WJHL News Channel 11,"On 11 July 2020, at least 200 people joined the New Panthers Initiative to demonstrate in Rogersville (Tennessee) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Demonstrators put flowers on a veterans' memorial and some counter-demonstrators showed up and threw the flowers back. Five people were arrested after yelling racial slurs and being involved in, according to the police, a large fight. Members of the 19th Tennessee Infantry militia allegedly joined the anti-BLM side.",0,counter-demonstration; crowd size=at least 200
11 July 2020,2020,Back the Blue; Pro-Police Group (United States),BLM: Black Lives Matter,New York,Kings,New York - Brooklyn,40.6904,-73.9862,ABC7 (New York); Brooklyn Paper; New York Post; Count Love; News12 (Brooklyn),"On 11 July 2020, more than 300 people marched in Bay Ridge and Dyker Heights in New York - Brooklyn (New York) in support of the Back the Blue movement. About 20 people staged a counter-demonstration in support of Black Lives Matter in the same area, and both groups had a verbal and physical confrontation, with one injury reported. A person was tasered and arrested by the police after he threw a helmet into the crowd of Blue Lives Matter demonstrators and injured a police officer.",0,counter-demonstration; crowd size=more than 320
05 July 2020,2020,BLM: Black Lives Matter,,Missouri,St. Louis,Florissant,38.789,-90.3229,AP; St. Louis American; St. Louis Post-Dispatch,"On 5 July 2020, a few hundred people demonstrated in Florissant (Missouri) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The rally turned violent when, according to the police, demonstrators damaged property of the police station and threw water bottles at police. Demonstrators said the police beat them with bats. Police used pepper spray and made 17 arrests.",0,crowd size=a few hundred
04 July 2020,2020,BLM: Black Lives Matter,,Tennessee,Davidson,Nashville,36.166,-86.7842,Crowd Counting Consortium; Fox17 (Nashville),"On 4 July 2020, thousands of people held a demonstration in Nashville (Tennessee) in support of the Black Lives Matter movement and against police brutality. After a peaceful demonstration at night rioters threw items at troopers and moved barriers that lead to Capitol grounds. Police intervened and arrested 55 people.",0,crowd size=thousands
04 July 2020,2020,BLM: Black Lives Matter,,Missouri,Jackson,Kansas City,39.1013,-94.5789,Kansas City Star; KCTV5; KMBC9,"On 4 July 2020, hundreds of people demonstrated in Kansas City (Missouri), in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The rally turned violent when demonstrators burned a wagon and a flag.",0,crowd size=hundreds
03 July 2020,2020,BLM: Black Lives Matter,,Oregon,Multnomah,Portland - Downtown,45.5134,-122.6809,AP,"On 3 July 2020, hundreds staged a demonstration in Portland - Downtown (Oregon) in support of the Black Lives Movement and against Police brutality and the death of George Floyd. The windows of a federal courthouse were broken and fireworks caused a fire inside the building. One person was arrested.",0,crowd size=hundreds
02 July 2020,2020,BLM: Black Lives Matter,,Washington,King,Seattle,47.6056,-122.333,AP; Columbian,"On 2 July 2020, thousands of people staged a demonstration in Seattle (Washington) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. Demonstrators gathered at the so-called 'Capitol Hill Organized Protest' (CHOP), which was self-declared as 'autonomous zone' on 8 June 2020. Police used bicycles to herd the demonstrators after the mayor ordered the area cleared following two fatal shootings in less than two weeks. After some people refused to clear the area and threw bottles at officers, police used pepper spray and blast balls to disperse the crowd. 25 people were arrested.",0,crowd size=thousands
30 June 2020,2020,BLM: Black Lives Matter; Civilians (United States); Journalists (United States),,Oregon,Multnomah,Portland,45.5234,-122.6762,US Press Freedom Tracker; KOIN6,"On 30 June 2020, a few hundred people staged a demonstration in Portland (Oregon) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. According to the police, the crowd threw fireworks, bottles, cans, rocks, and other projectiles at officers. Police fired tear gas back at demonstrators. Several arrests were made. A journalist reported being targeted by police after a police officer fired a less-lethal munition at his groin.",0,crowd size=a few hundred
